,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
179,شفن,پتروشيمي فناوران,552,96129,27006372390,278030,285000,281800,3770,1.36,278870,840,0.3,277880,287000
180,رتاپ,تجارت الكترونيك  پارسيان,551,1744087,9609069170,5450,5300,5550,100,1.83,5490,40,0.73,5300,5660
181,سامان,بانك سامان,551,2552126,22978439702,8925,8800,9110,185,2.07,8969,44,0.49,8710,9130
182,وسكاب,س.ص.بازنشستگي كاركنان بانكها,543,3195511,14573457526,4454,4454,4650,196,4.4,4560,106,2.38,4454,4650
183,زگلدشتح,ح.كشت و دام گلدشت نمونه اصفهان,543,1705257,9651860136,5752,5563,5511,-241,-4.19,5660,-92,-1.6,5511,5850
184,گوهران,سرمايه گذاري توسعه گوهران اميد,539,1200641,8349693443,6942,6979,6969,27,0.39,6949,7,0.1,6820,7000
185,ياقوت,صندوق س ياقوت آگاه-ثابت,536,2954785,36561900928,12367,12373,12374,7,0.06,12374,7,0.06,12373,12379
186,آكورد,صندوق س. آرمان آتي كوثر-د,533,3694000,119193994755,32250,32266,32269,19,0.06,32267,17,0.05,32266,32270
187,وسلرستا,شركت س استان لرستان,530,35418141,22419683253,666,633,633,-33,-4.95,635,-31,-4.65,633,633
188,سشمال,سيمان‌ شمال‌,524,2015840,16249150490,7960,7950,8140,180,2.26,8060,100,1.26,7690,8200
189,دپارس,پارس‌ دارو,516,853517,31521577810,38340,36430,37300,-1040,-2.71,36930,-1410,-3.68,36430,38400
190,دكپسول,توليد ژلاتين كپسول ايران,515,713507,18824024124,26115,25000,26400,285,1.09,26382,267,1.02,25000,26960
191,كفرا,فراورده‌ هاي‌ نسوزايران‌,497,2143958,45344652860,20200,20440,21210,1010,5,21150,950,4.7,20440,21210
192,كگهر,سنگ آهن گهرزمين,497,931397,36923812940,41341,39274,39274,-2067,-5,40791,-550,-1.33,39274,41323
193,تايرا,تراكتورسازي‌ايران‌,496,1703522,39115923770,23640,22480,22610,-1030,-4.36,22960,-680,-2.88,22460,23660
194,ساروم,سيمان‌اروميه‌,494,1401575,35943791330,24550,25500,25770,1220,4.97,25650,1100,4.48,24610,25770
195,سپ,پرداخت الكترونيك سامان كيش,492,515585,12135195940,23640,23640,23260,-380,-1.61,23610,-30,-0.13,23000,23900
196,سكه0012پ01,سكه تمام بهارتحويلي 1روزه رفاه,478,141500,147413899100,1014798,1032000,1044000,29202,2.88,1041794,26996,2.66,1032000,1050699
197,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,461,1044394,27460731770,27670,26290,26290,-1380,-4.99,26290,-1380,-4.99,26290,26980
198,شفارا,پتروشيمي فارابي,455,5783004,18367675649,3263,3166,3179,-84,-2.57,3176,-87,-2.67,3166,3359
199,فولاژ,فولاد آلياژي ايران,455,1770220,24053726000,14130,13550,13500,-630,-4.46,13930,-200,-1.42,13430,14080
